analysis_id,n79ctaq3383n6or
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
pvalue,0.1339924
parameter_name,Cholesterol ratio
gene_symbol,Etfdh
parameter_id,IMPC_CBC_058_001
