analysis_id,dp110nkyf4w3b40
parameter_id,M-G-P_016_001_001
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
parameter_name,White blood cell-count
pvalue,0.240258
gene_accession_id,MGI:109356
mouse_strain,C57BL
