parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:3616086
mouse_strain,C57BL
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
analysis_id,7e2vcj274267tp1
gene_symbol,Kcng1
pvalue,0.882892
