analysis_id,1r991f27t26ja41
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_017_001
pvalue,0.8102326
parameter_name,Center average speed
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
