gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
pvalue,0.7915918
analysis_id,65crfgv8w5p19ch
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
