analysis_id,9wxun0867gcx348
parameter_id,IMPC_IMM_034_001
parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.1316664
gene_accession_id,MGI:1915033
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ahctf1
