parameter_name,Triglycerides
analysis_id,t608qs40ru18w40
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
gene_symbol,Steap3
pvalue,0.7714245
parameter_id,HMGULA_CBC_017_001
