gene_symbol,Golm2
parameter_name,Lumbar processes
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:2443129
pvalue,0.9223811
analysis_id,6t0e9p08pc1pf04
