analysis_id,g234qdn99vjl5k8
pvalue,0.05554098
gene_symbol,Ufc1
parameter_id,IMPC_DXA_007_001
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1913405
