gene_symbol,Kdm4c
analysis_id,h84tf4mw795cnbr
parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
pvalue,0.1459848
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
