gene_symbol,Sdcbp2
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
analysis_id,38520rtdskg3593
pvalue,0.2311559
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
