pvalue,0
mouse_strain,C57BL
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
analysis_id,xj4n22n675be606
parameter_id,MGP_MLN_014_001
