analysis_id,4o1sgik9l8wf604
mouse_life_stage,Late adult
pvalue,0.3981626
mouse_strain,C57BL
parameter_id,JAXLA_OFD_007_001
gene_accession_id,MGI:1345282
parameter_name,Whole arena resting time
gene_symbol,Slc30a4
