mouse_strain,B6J
parameter_name,RR
analysis_id,qpd654zi35u378j
gene_accession_id,MGI:1346344
pvalue,0.8159569
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_004_001
gene_symbol,Nr0b2
