gene_symbol,Hspa5
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,17lu7ux5964u0w0
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:95835
pvalue,0.5794408
parameter_name,center - resting time
