gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
analysis_id,o21n528j62j60r6
pvalue,0.6600839
gene_accession_id,MGI:1923959
parameter_name,CD8+ KLRG1+ alpha beta T cell number
