analysis_id,0z15tikrv5ye49e
mouse_life_stage,Late adult
parameter_id,M-G-P_013_001_001
gene_accession_id,MGI:1336200
parameter_name,Eye
pvalue,0.1943158
gene_symbol,Hpca
mouse_strain,C57BL
