analysis_id,2j4558yoga8ie10
mouse_life_stage,Late adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,cDCs CD11b Type
pvalue,0.427997
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
