gene_symbol,Alkbh3
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
analysis_id,88c260jkb9759j8
pvalue,0.09755975
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
