parameter_name,Left total retinal thickness
analysis_id,4m811223hf5ii1c
gene_symbol,Eprs1
parameter_id,IMPC_EYE_068_001
gene_accession_id,MGI:97838
pvalue,0.5686026
mouse_strain,C57BL
mouse_life_stage,E9.5
