parameter_name,Skull shape
analysis_id,3s7os6vo137013k
gene_accession_id,MGI:2181659
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7452143
parameter_id,IMPC_XRY_001_001
gene_symbol,Tox
