parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.7893926
analysis_id,3d68w087m2n5uq0
mouse_life_stage,Early adult
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,IMPC_CSD_036_001
