parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
parameter_name,Distance travelled - total
analysis_id,l3m7285714n4z5a
mouse_life_stage,Early adult
gene_symbol,F2
gene_accession_id,MGI:88380
pvalue,0.6036285
