analysis_id,220vu3j4gav19ej
gene_symbol,Mapkap1
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:2444554
parameter_name,Midbrain
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.7311043
