parameter_name,Ly6Clow monocyte number
analysis_id,to3o7d5902y3l95
mouse_life_stage,E12.5
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
pvalue,0.970151
parameter_id,MGP_PBI_038_001
