gene_symbol,Bdh2
mouse_strain,C57BL
gene_accession_id,MGI:1917022
parameter_id,MGP_CSD_025_001
pvalue,0.9875295
analysis_id,5vq1n91271sb870
mouse_life_stage,Early adult
parameter_name,Ventral coat/hair presence
