gene_symbol,Hrnr
parameter_id,IMPC_CSD_051_002
pvalue,0.5774143
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
mouse_strain,C57BL
analysis_id,7h124j234s9j06n
