analysis_id,f011595f20zwtef
mouse_strain,C57BL
parameter_name,Response amplitude - S
pvalue,0.5856404
gene_symbol,Hspa5
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:95835
