parameter_name,Eosinophil percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_020_001
mouse_strain,C57BL
gene_symbol,Dnaaf9
pvalue,0.6268408
gene_accession_id,MGI:1923029
analysis_id,d858iqczzlo80v2
