analysis_id,ch531uo20h51n43
mouse_life_stage,E9.5
gene_symbol,Bcs1l
pvalue,0.8032624
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
