parameter_id,IMPC_LDT_008_001
mouse_life_stage,E12.5
pvalue,0.86457
gene_accession_id,MGI:2444554
mouse_strain,C57BL
parameter_name,Percent time in light
gene_symbol,Mapkap1
analysis_id,ynb7h78r9wu70ow
