parameter_name,Average duration
analysis_id,jp824747q83bs6g
mouse_strain,C57BL
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
pvalue,0.7939517
parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
