analysis_id,m95lq3n523911xv
pvalue,0.9520906
parameter_id,IMPC_OFD_022_001
parameter_name,Percentage center time
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
mouse_strain,C57BL
gene_symbol,Kdm5b
