gene_symbol,Tiprl
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1915087
pvalue,0.4565368
mouse_life_stage,Early adult
parameter_name,Neutrophils
analysis_id,9575675f800t6hs
mouse_strain,C57BL
