analysis_id,23t6nq1wf47fk36
parameter_name,B2B Cells
gene_symbol,Cds2
parameter_id,IMPC_IMM_065_001
pvalue,0.7565291
mouse_strain,129SV
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
