parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:1917604
analysis_id,zoy3it0w55yrseo
mouse_life_stage,Late adult
pvalue,0.3132017
mouse_strain,C57BL
gene_symbol,Secisbp2l
