analysis_id,5lvpmsvhybgyrf5
parameter_name,Glucose
pvalue,0.4068353
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
mouse_strain,C57BL
gene_symbol,Hrnr
