analysis_id,08v103v8505nu9j
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
gene_symbol,Tiprl
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
pvalue,0.7834532
mouse_strain,C57BL
