analysis_id,j9jl619p67g4gs3
pvalue,0.6959981
gene_symbol,Amigo1
mouse_strain,C57BL
gene_accession_id,MGI:2653612
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
mouse_life_stage,Early adult
