gene_symbol,Npbwr1
parameter_id,IMPC_OFD_013_001
pvalue,0.7865667
mouse_strain,C57BL
gene_accession_id,MGI:891989
parameter_name,Periphery average speed
analysis_id,t48o1fof2647m87
mouse_life_stage,Early adult
