gene_symbol,Hrnr
analysis_id,3w37085ea1h6y8y
pvalue,0.6261021
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
gene_accession_id,MGI:3046938
