analysis_id,v3n50a7wj12ci3y
gene_symbol,Lpgat1
pvalue,0.5238261
parameter_id,MGP_PBI_032_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_name,CD4+ KLRG1+ alpha beta T cell number
