analysis_id,u2887p1z2z97z0k
mouse_strain,C57BL
pvalue,0.8823434
parameter_id,MGP_IMM_015_001
gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:1915678
