analysis_id,vxhu3frm729nx1i
gene_accession_id,MGI:2673000
mouse_strain,C57BL
gene_symbol,Trim46
mouse_life_stage,Early adult
pvalue,0.9318563
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
