gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.5007111
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:2446186
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
analysis_id,91x1v8qw81lsp3q
