Analysis_id,6j1h5g2ug5rif2l
Gene_accession_id,MGI:88071
parameter_id,ESLIM_016_001_005
gene_symbol,Arnt
mouse_strain,C57BL
parameter_name,Mean cell volume
mouse_life_stage,Early adult
Pvalue,0.1127447
