analysis_id,6y05288l761c259
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.266533
gene_symbol,Arpc2
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
