parameter_name,Cholesterol ratio
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
pvalue,0.3314324
analysis_id,1kt623j618t2of1
parameter_id,IMPC_CBC_058_001
