analysis_id,w98i98c39h10997
gene_accession_id,MGI:2442483
pvalue,0.5829178
parameter_id,MGP_IMM_014_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Usp37
