parameter_name,Percent time in light
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
analysis_id,98045p2j57o7ha7
pvalue,0.1774923
mouse_life_stage,Early adult
parameter_id,JAX_LDT_009_001
mouse_strain,C57BL
