analysis_id,gwcy6k7l91xs5a4
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
parameter_name,Lens Opacity
gene_accession_id,MGI:1929242
mouse_strain,C57BL
gene_symbol,Ivd
pvalue,0.4190005
