parameter_name,Radius
analysis_id,18a46dn9h05h3o3
gene_accession_id,MGI:1915033
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ahctf1
parameter_id,IMPC_XRY_022_001
pvalue,0.05409411
