analysis_id,y203a7898a2kl0b
mouse_life_stage,Late adult
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
pvalue,0.6955999
