parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
pvalue,0.3547636
analysis_id,ts6kwi710nj9lh4
gene_symbol,Hspa5
mouse_strain,C57BL
