parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:1920344
pvalue,0.7833662
analysis_id,ug2t2f32ezzi50n
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sgip1
