parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
gene_symbol,Sla2
gene_accession_id,MGI:1925049
pvalue,0.5727791
parameter_id,M-G-P_016_001_005
analysis_id,iahs3590mi263c0
mouse_strain,C57BL
