gene_symbol,Arnt
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_accession_id,MGI:88071
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,ainf9247c5vup55
parameter_id,MGP_BMI_014_001
pvalue,0.5638873
