analysis_id,k5it3y3pu29mmm9
gene_accession_id,MGI:1916222
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tatdn3
pvalue,0.4768396
parameter_id,MGP_IMM_028_001
