parameter_name,Ly6Clow monocyte percentage
gene_accession_id,MGI:1915848
pvalue,0.4539353
gene_symbol,Dnajc8
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
mouse_strain,C57BL
analysis_id,l16i19lu747i2o4
