analysis_id,31v22pl1853w325
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
pvalue,0.3344693
gene_symbol,Mapkap1
parameter_name,Lens Opacity
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
