gene_symbol,Tnni1
pvalue,0.1623194
parameter_name,Mean left eye lens density
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
analysis_id,nhd852m15hb7yc9
mouse_strain,C57BL
