analysis_id,h719nh07l0oe074
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
pvalue,0.9583353
parameter_name,HDL-cholesterol
mouse_strain,129SV
