gene_symbol,Mov10
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
pvalue,0.8813992
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
analysis_id,sqn17gcmm412601
gene_accession_id,MGI:97054
