parameter_name,Embryo turning
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
pvalue,0.5953893
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
analysis_id,386gf140e324gq3
